gene_id,symbol
ENSG00000006377,DLX6
ENSG00000010438,PRSS3
ENSG00000019186,CYP24A1
ENSG00000036473,OTC
ENSG00000039068,CDH1
ENSG00000047457,CP
ENSG00000054938,CHRDL2
ENSG00000065371,ROPN1
ENSG00000069482,GAL
ENSG00000071991,CDH19
ENSG00000074803,SLC12A1
ENSG00000075043,KCNQ2
ENSG00000077522,ACTN2
ENSG00000077935,SMC1B
ENSG00000082556,OPRK1
ENSG00000088386,SLC15A1
ENSG00000090512,FETUB
ENSG00000092758,COL9A3
ENSG00000094755,GABRP
ENSG00000096006,CRISP3
ENSG00000100121,GGTLC2
ENSG00000100604,CHGA
ENSG00000100867,DHRS2
ENSG00000101292,PROKR2
ENSG00000101323,HAO1
ENSG00000101425,BPI
ENSG00000101489,CELF4
ENSG00000102021,LUZP4
ENSG00000102109,PCSK1N
ENSG00000102243,VGLL1
ENSG00000102290,PCDH11X
ENSG00000102854,MSLN
ENSG00000103355,PRSS33
ENSG00000105141,CASP14
ENSG00000105143,SLC1A6
ENSG00000105825,TFPI2
ENSG00000107159,CA9
ENSG00000108342,CSF3
ENSG00000108688,CCL7
ENSG00000109158,GABRA4
ENSG00000109181,UGT2B10
ENSG00000109208,SMR3A
ENSG00000109424,UCP1
ENSG00000110148,CCKBR
ENSG00000110245,APOC3
ENSG00000112238,PRDM13
ENSG00000112333,NR2E1
ENSG00000115592,PRKAG3
ENSG00000115596,WNT6
ENSG00000115850,LCT
ENSG00000116996,ZP4
ENSG00000117148,ACTL8
ENSG00000120068,HOXB8
ENSG00000120289,MAGEB4
ENSG00000120563,LYZL1
ENSG00000123358,NR4A1
ENSG00000124102,PI3
ENSG00000124205,EDN3
ENSG00000125740,FOSB
ENSG00000125798,FOXA2
ENSG00000126545,CSN1S1
ENSG00000127928,GNGT1
ENSG00000129988,LBP
ENSG00000130234,ACE2
ENSG00000130294,KIF1A
ENSG00000131686,CA6
ENSG00000131737,KRT34
ENSG00000132437,DDC
ENSG00000134824,FADS2
ENSG00000134827,TCN1
ENSG00000135220,UGT2A3
ENSG00000135222,CSN2
ENSG00000135226,UGT2B28
ENSG00000135346,CGA
ENSG00000135374,ELF5
ENSG00000135413,LACRT
ENSG00000135443,KRT85
ENSG00000136099,PCDH8
ENSG00000136352,NKX2-1
ENSG00000136694,IL36A
ENSG00000136928,GABBR2
ENSG00000137090,DMRT1
ENSG00000137204,SLC22A7
ENSG00000137648,TMPRSS4
ENSG00000138136,LBX1
ENSG00000138622,HCN4
ENSG00000140522,RLBP1
ENSG00000140600,SH3GL3
ENSG00000142449,FBN3
ENSG00000142619,PADI3
ENSG00000142698,C1orf94
ENSG00000143032,BARHL2
ENSG00000143125,PROK1
ENSG00000143452,HORMAD1
ENSG00000143536,CRNN
ENSG00000143546,S100A8
ENSG00000144015,TRIM43
ENSG00000144285,SCN1A
ENSG00000145321,GC
ENSG00000146857,STRA8
ENSG00000147381,MAGEA4
ENSG00000147485,PXDNL
ENSG00000148482,SLC39A12
ENSG00000148604,RGR
ENSG00000148677,ANKRD1
ENSG00000148798,INA
ENSG00000150361,KLHL1
ENSG00000152192,POU4F1
ENSG00000153002,CPB1
ENSG00000154645,CHODL
ENSG00000155622,XAGE2
ENSG00000155918,RAET1L
ENSG00000156096,UGT2B4
ENSG00000156219,ART3
ENSG00000156222,SLC28A1
ENSG00000158164,TMSB15A
ENSG00000160182,TFF1
ENSG00000161634,DCD
ENSG00000162670,BRINP3
ENSG00000163064,EN1
ENSG00000163216,SPRR2D
ENSG00000163377,TAFA4
ENSG00000164326,CARTPT
ENSG00000164404,GDF9
ENSG00000164434,FABP7
ENSG00000164438,TLX3
ENSG00000164458,TBXT
ENSG00000164794,KCNV1
ENSG00000165553,NGB
ENSG00000165973,NELL1
ENSG00000166111,SVOP
ENSG00000166342,NETO1
ENSG00000166407,LMO1
ENSG00000166426,CRABP1
ENSG00000166535,A2ML1
ENSG00000167165,UGT1A6
ENSG00000167531,LALBA
ENSG00000167656,LY6D
ENSG00000167771,RCOR2
ENSG00000167941,SOST
ENSG00000168333,PPDPFL
ENSG00000168484,SFTPC
ENSG00000168619,ADAM18
ENSG00000169213,RAB3B
ENSG00000169245,CXCL10
ENSG00000169474,SPRR1A
ENSG00000169509,CRCT1
ENSG00000169548,ZNF280A
ENSG00000170419,VSTM2A
ENSG00000170454,KRT75
ENSG00000170465,KRT6C
ENSG00000170523,KRT83
ENSG00000171195,MUC7
ENSG00000171199,OPRPN
ENSG00000171360,KRT38
ENSG00000171431,KRT20
ENSG00000171446,KRT27
ENSG00000171450,CDK5R2
ENSG00000171560,FGA
ENSG00000171564,FGB
ENSG00000172232,AZU1
ENSG00000173237,C11orf86
ENSG00000174015,CBY2
ENSG00000174343,CHRNA9
ENSG00000174502,SLC26A9
ENSG00000175084,DES
ENSG00000175868,CALCB
ENSG00000176076,KCNE5
ENSG00000176769,TCERG1L
ENSG00000176887,SOX11
ENSG00000177614,PGBD5
ENSG00000178445,GLDC
ENSG00000178597,PSAPL1
ENSG00000179059,ZFP42
ENSG00000180264,ADGRD2
ENSG00000180772,AGTR2
ENSG00000183566,BPIFA4P
ENSG00000183571,PGPEP1L
ENSG00000183654,MARCHF11
ENSG00000184697,CLDN6
ENSG00000185149,NPY2R
ENSG00000185559,DLK1
ENSG00000185686,PRAME
ENSG00000185915,KLHL34
ENSG00000186007,LEMD1
ENSG00000186439,TRDN
ENSG00000186474,KLK12
ENSG00000186684,CYP27C1
ENSG00000187122,SLIT1
ENSG00000187533,PRR27
ENSG00000187689,AMTN
ENSG00000187772,LIN28B
ENSG00000187957,DNER
ENSG00000188763,FZD9
ENSG00000189182,KRT77
ENSG00000196196,HRCT1
ENSG00000196228,SULT1C3
ENSG00000196611,MMP1
ENSG00000196754,S100A2
ENSG00000197106,SLC6A17
ENSG00000197172,MAGEA6
ENSG00000197446,CYP2F1
ENSG00000198077,CYP2A7
ENSG00000198729,PPP1R14C
ENSG00000198732,SMOC1
ENSG00000199161,MIR126
ENSG00000201431,RNU6-1277P
ENSG00000203685,STUM
ENSG00000203688,LINC02487
ENSG00000203730,TEDDM1
ENSG00000203878,CHIAP2
ENSG00000204019,CT83
ENSG00000204544,MUC21
ENSG00000204610,TRIM15
