© 2000-2021 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cardiovascular Disease,Cardiovascular System Development and Function,Cell Morphology,Cellular Function and Maintenance,Organismal Injury and Abnormalities,Tissue Morphology	Permeability of endothelial cells	1.73E-04	AZU1,NR4A1,PROK1	3
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Colony formation of granulocytes	3.38E-04	CSF3,PROK1	2
Metabolic Disease,Organismal Injury and Abnormalities	Cobalamin disorder	4.54E-04	DCDC2C,TCN1	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Abnormality of left ventricle	4.90E-04	AGTR2,APOC3,DES,GABRA4	4
Cardiovascular Disease,Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities	Hypercholesterolemia	6.54E-04	AGTR2,APOC3,GABRA4	3
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Colony formation of phagocytes	6.59E-04	CSF3,PROK1	2
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Development of macrophages	7.35E-04	CSF3,PROK1	2
Cell-To-Cell Signaling and Interaction	Signal transduction	9.87E-04	ADGRD2,AGTR2,APOC3,CGA,EDN3,LALBA,NPY2R,NR4A1,PROK1	9
Cardiovascular Disease,Organismal Injury and Abnormalities	Aortic valve disease	1.01E-03	AGTR2,APOC3,GABRA4	3
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Polyarticular juvenile rheumatoid arthritis	1.69E-03	EDN3,FOSB,NR4A1	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Ischemia of heart	1.73E-03	AGTR2,CSF3,GABRA4,mir-126	4
Cardiovascular Disease,Organismal Injury and Abnormalities	Valvular regurgitation of mitral valve	1.97E-03	AGTR2,GABRA4	2
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Uptake of dinoprost	2.12E-03	SLC22A7	1
Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease	Premature ovarian failure type 14	2.12E-03	GDF9	1
Cardiovascular System Development and Function	Fenestration of endothelial cells	2.12E-03	PROK1	1
Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response	Metabolism by neutrophils	2.12E-03	CSF3	1
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Colony formation of neutrophils	2.12E-03	CSF3	1
Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease	Formation of ovarian cyst	2.12E-03	PROK1	1
Cellular Development,Cellular Growth and Proliferation,Connective Tissue Development and Function,Tissue Development	Proliferation of white adipocytes	2.12E-03	VSTM2A	1
Developmental Disorder,Gastrointestinal Disease,Neurological Disease,Organismal Injury and Abnormalities	Susceptibility to Hirschsprung disease type 4	2.12E-03	EDN3	1
Amino Acid Metabolism,Small Molecule Biochemistry	Catabolism of L-ornithine	2.12E-03	OTC	1
Cardiovascular Disease,Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities	Hyperalphalipoproteinemia type 2	2.12E-03	APOC3	1
Cardiovascular System Development and Function,Cellular Function and Maintenance,Tissue Development	Organization of microvascular endothelial cells	2.12E-03	PROK1	1
Connective Tissue Disorders,Dermatological Diseases and Conditions,Developmental Disorder,Gastrointestinal Disease,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Waardenburg syndrome type 4B	2.12E-03	EDN3	1
Cellular Compromise	Calcification of fibroblasts	2.12E-03	APOC3	1
Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities	Catecholaminergic polymorphic ventricular tachycardia type 5	2.12E-03	TRDN	1
Cellular Function and Maintenance,Cellular Movement,Hematological System Development and Function,Infectious Diseases	Release of neutrophils	2.12E-03	CSF3	1
Cellular Growth and Proliferation,Organismal Development	Growth of Enterococcus faecalis	2.12E-03	AZU1	1
Cell Morphology,Cellular Assembly and Organization	Segmentation of nucleus	2.12E-03	CSF3	1
Cardiovascular Disease,Cardiovascular System Development and Function,Hereditary Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Dilated cardiomyopathy 1i	2.12E-03	DES	1
Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Kaeser type neurogenic scapuloperoneal syndrome	2.12E-03	DES	1
Metabolic Disease,Nutritional Disease,Organismal Injury and Abnormalities	Transcobalamin I deficiency	2.12E-03	TCN1	1
Cancer,Cellular Development,Organismal Injury and Abnormalities	Maturation of CML-BC progenitors	2.12E-03	CSF3	1
Developmental Disorder,Hereditary Disorder,Organismal Functions,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Limb-girdle muscular dystrophy type 2R	2.12E-03	DES	1
Cell Death and Survival,Organismal Survival	Survival of Escherichia coli 25922	2.12E-03	TFPI2	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Left ventricular dysfunction	2.26E-03	AGTR2,APOC3,DES	3
Endocrine System Development and Function,Molecular Transport,Small Molecule Biochemistry	Secretion of hormone	2.80E-03	CGA,EDN3	2
Cardiovascular System Development and Function,Cell Death and Survival	Survival of vascular endothelial cells	3.10E-03	NR4A1,PROK1	2
Cardiovascular Disease,Cardiovascular System Development and Function,Cell Morphology,Cellular Function and Maintenance,Organismal Injury and Abnormalities,Tissue Morphology	Permeability of vascular endothelial cells	3.59E-03	NR4A1,PROK1	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Arrhythmia	3.66E-03	AGTR2,DES,GABRA4,TRDN	4
Cardiovascular System Development and Function,Cell Death and Survival	Cell viability of microvascular endothelial cells	4.24E-03	PROK1	1
Hematological System Development and Function,Hematopoiesis,Inflammatory Response,Tissue Morphology	Quantity of dendritic precursor cells	4.24E-03	CSF3	1
Cellular Assembly and Organization,Cellular Compromise	Disruption of lipid bilayer	4.24E-03	AZU1	1
Hematological System Development and Function,Inflammatory Response,Tissue Morphology	Quantity of plasmacytoid dendritic cells	4.24E-03	CSF3	1
Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Desmin-related myopathy	4.24E-03	DES	1
Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	Ornithine transcarbamylase deficiency	4.24E-03	OTC	1
Cellular Function and Maintenance,Cellular Growth and Proliferation,Hematological System Development and Function	Production of lymphocytes	4.24E-03	CSF3	1
Cell Signaling	G-protein signaling, coupled to cGMP nucleotide second messenger	4.24E-03	AGTR2	1
Cellular Function and Maintenance,Cellular Growth and Proliferation,Hematological System Development and Function	Production of monocytes	4.24E-03	CSF3	1
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease	Gonadotrophinoma	4.24E-03	BRINP3	1
Tissue Morphology	Quantity of Pseudomonas aeruginosa	4.24E-03	CSF3	1
Organismal Development	Production of mucus	4.24E-03	NR4A1	1
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism	Quantity of vitamin A	4.24E-03	APOC3	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Subclinical atherosclerosis	4.24E-03	APOC3	1
Amino Acid Metabolism,Endocrine System Development and Function,Molecular Transport,Small Molecule Biochemistry	Secretion of L-triiodothyronine	4.24E-03	CGA	1
Cell Death and Survival,Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Inflammatory Response	Antibody-dependent cell-mediated cytotoxic reaction of neutrophils	4.24E-03	CSF3	1
Cell Cycle,Cell Morphology,Cellular Assembly and Organization,DNA Replication, Recombination, and Repair	Structure of chromatin	4.24E-03	LALBA	1
Nutritional Disease	Obesity	4.47E-03	AGTR2,APOC3,GABRA4,NPY2R,UCP1	5
Cardiovascular Disease,Organismal Injury and Abnormalities	Stenosis of aortic valve	4.67E-03	AGTR2,GABRA4	2
Cancer,Organismal Injury and Abnormalities	Adenoma	4.92E-03	BRINP3,EDN3,FOSB,TCN1,UCP1	5
Cardiovascular Disease,Cell Death and Survival,Organismal Injury and Abnormalities	Myocardial necrosis	5.25E-03	AGTR2,GABRA4	2
Cellular Function and Maintenance,Cellular Growth and Proliferation,Hematological System Development and Function	Production of neutrophils	6.35E-03	CSF3	1
Carbohydrate Metabolism,Small Molecule Biochemistry	Synthesis of lactose	6.35E-03	LALBA	1
Hematological System Development and Function,Hypersensitivity Response,Tissue Morphology	Quantity of basophils	6.35E-03	CSF3	1
Amino Acid Metabolism,Small Molecule Biochemistry	Biosynthesis of citrulline	6.35E-03	OTC	1
Cellular Movement,Hematological System Development and Function,Hematopoiesis,Immune Cell Trafficking,Inflammatory Response	Mobilization of colony-forming granulocyte-macrophages	6.35E-03	CSF3	1
Cellular Movement	Migration of endocrine cell lines	6.35E-03	BRINP3	1
Organismal Functions	Thermogenesis	6.35E-03	UCP1	1
Cardiovascular Disease,Cellular Compromise,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Calcification of vascular smooth muscle cells	6.35E-03	APOC3	1
Tissue Morphology	Remodeling of blood vessel	6.35E-03	AGTR2	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Chronic New York Heart Association class II-IV heart failure	6.35E-03	AGTR2	1
Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry	Transport of cyclic GMP	6.35E-03	SLC22A7	1
Connective Tissue Development and Function,Reproductive System Development and Function	Decidualization of stromal cells	6.35E-03	CGA	1
Cell Death and Survival	Killing of Salmonella enterica subsp. enterica serovar Typhimurium	6.35E-03	AZU1	1
Cardiovascular Disease,Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities	Severe hypertriglyceridemia	6.35E-03	APOC3	1
DNA Replication, Recombination, and Repair,Gene Expression	Bending of DNA	6.35E-03	TFF1	1
Metabolic Disease,Nutritional Disease,Organismal Injury and Abnormalities	Cobalamin deficiency	6.35E-03	TCN1	1
Vitamin and Mineral Metabolism	Metabolism of vitamin	6.37E-03	APOC3,GC,TCN1	3
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Tissue Development	Colony formation of hematopoietic progenitor cells	6.75E-03	CSF3,PROK1	2
Cardiovascular System Development and Function,Cellular Movement	Migration of endothelial cells	6.96E-03	CSF3,mir-126,NR4A1,PROK1	4
Cardiovascular System Development and Function,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Organismal Development,Tissue Development	Cell proliferation of vascular endothelial cells	7.29E-03	mir-126,NR4A1,PROK1	3
Post-Translational Modification,Protein Degradation,Protein Synthesis	Hydrolysis of protein fragment	7.51E-03	AZU1,KLK12,mir-126	3
Cardiovascular System Development and Function,Cellular Movement	Migration of vascular endothelial cells	7.61E-03	CSF3,NR4A1,PROK1	3
Cell Morphology	Keratinization	8.17E-03	KLK12,KRT27,KRT77	3
Cellular Movement	Invasion of endocrine cell lines	8.46E-03	BRINP3	1
Drug Metabolism,Molecular Transport,Small Molecule Biochemistry	Uptake of indomethacin	8.46E-03	SLC22A7	1
Endocrine System Development and Function,Molecular Transport,Small Molecule Biochemistry	Secretion of peptide hormone derivative	8.46E-03	EDN3	1
Drug Metabolism,Molecular Transport,Small Molecule Biochemistry	Uptake of ibuprofen	8.46E-03	SLC22A7	1
Cellular Development,Cellular Growth and Proliferation,Connective Tissue Development and Function,Skeletal and Muscular System Development and Function,Tissue Development	Colony formation of osteoclast precursor cells	8.46E-03	PROK1	1
Cell-To-Cell Signaling and Interaction	Binding of Pseudomonas aeruginosa	8.46E-03	TFPI2	1
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Inflammatory Response,Lymphoid Tissue Structure and Development	Proliferation of neutrophils	8.46E-03	CSF3	1
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of neutrophils	8.46E-03	CSF3	1
Drug Metabolism,Molecular Transport,Small Molecule Biochemistry	Uptake of salicylic acid	8.46E-03	SLC22A7	1
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of Th17 cells	8.46E-03	CSF3	1
Cardiovascular Disease,Organismal Injury and Abnormalities	New York Heart Association class IV heart failure	8.46E-03	AGTR2	1
Infectious Diseases	Infection by Clostridium difficile	8.46E-03	CSF3	1
Drug Metabolism,Molecular Transport,Small Molecule Biochemistry	Uptake of ketoprofen	8.46E-03	SLC22A7	1
Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders,Respiratory Disease	Autosomal dominant congenital central hypoventilation syndrome	8.46E-03	EDN3	1
Cardiovascular System Development and Function,Cell Morphology,Cellular Development,Organismal Development,Tissue Development	Sprouting of microvascular endothelial cells	8.46E-03	PROK1	1
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Colony formation of colony-forming unit macrophages	8.46E-03	PROK1	1
Developmental Disorder,Hereditary Disorder,Organismal Functions,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Limb-girdle muscular dystrophy type 2	9.43E-03	DES,mir-126	2
Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Skin squamous cell carcinoma	1.01E-02	BRINP3,CSN1S1,CSN2,MUC7,NELL1,TCN1,TRDN	7
Cardiovascular System Development and Function,Organ Development,Organ Morphology	Contraction of heart	1.02E-02	DES,TRDN	2
Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease	Methylmalonic aciduria with homocystinuria cblC type	1.06E-02	DCDC2C	1
Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Invasive cutaneous melanoma	1.06E-02	EDN3	1
Organismal Functions	Basal metabolic rate	1.06E-02	UCP1	1
Cell Death and Survival	Survival of bone marrow cell lines	1.06E-02	CSF3	1
Cardiovascular Disease,Organismal Injury and Abnormalities	New York Heart Association class II heart failure	1.06E-02	AGTR2	1
Cell Death and Survival	Killing of prostate cancer cell lines	1.06E-02	NR4A1	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Symptomatic stage chronic systolic heart failure	1.06E-02	AGTR2	1
Cell-To-Cell Signaling and Interaction,Cellular Growth and Proliferation,Hematological System Development and Function,Inflammatory Response	Stimulation of neutrophils	1.06E-02	CSF3	1
Cell-To-Cell Signaling and Interaction	Binding of Escherichia coli 25922	1.06E-02	TFPI2	1
