"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DLX6",12.2752027509953,-2.37282256900239,0.269294030287621,-8.81127058950426,1.23735288941025e-18,1.04938284612332e-15
"PRSS3",15.1357754076008,-1.52540750114466,0.254266642589831,-5.9992434933959,1.98238907524961e-09,1.21028110490826e-07
"CYP24A1",45.5590933359221,-1.66488203624846,0.255781280490971,-6.50900657410394,7.56494125275338e-11,7.567268926985e-09
"OTC",2.25753796434176,1.55802010407693,0.332461526970853,4.68631699514969,2.7816531743195e-06,4.86191100522188e-05
"CDH1",21651.522180194,-1.8684074549973,0.151092878452499,-12.3659531417604,3.99444833226704e-35,1.94789272923002e-31
"CP",3103.87863712843,-1.69138578244172,0.267728073972486,-6.31755107839582,2.65740622350504e-10,2.21046336015733e-08
"CHRDL2",104.524430406691,-1.60970286518578,0.227081880286816,-7.08864513167075,1.35431305882609e-12,2.60268281039031e-10
"ROPN1",95.1039054230677,-2.08961681014488,0.33855430964517,-6.17217607519145,6.73564273286355e-10,4.80385547156257e-08
"GAL",93.0188769261378,-1.68308373792383,0.228028605085332,-7.38102018952397,1.57081182354713e-13,3.8300319287638e-11
"CDH19",63.9264321408389,-2.19052371958637,0.361142774090945,-6.06553384627526,1.31516069336538e-09,8.52276560956318e-08
"SLC12A1",72.815959167913,-1.52135116955304,0.258871820808511,-5.87685119531954,4.18143760169999e-09,2.20440869888541e-07
"KCNQ2",7.13523897633084,-1.53648722432789,0.292438197005857,-5.25405791739688,1.48784059112122e-07,4.30590779976416e-06
"ACTN2",109.344516329306,-1.80477768642961,0.279130257353512,-6.46571856287117,1.0081856573964e-10,9.61646427050078e-09
"SMC1B",90.8917000947757,-1.53010546993286,0.214137203589445,-7.14544434262091,8.97052333593462e-13,1.79465669939221e-10
"OPRK1",8.42621715877067,-1.59561613837556,0.31333059011997,-5.09243651494295,3.53491095377507e-07,8.78928910953938e-06
"SLC15A1",32.0255640808476,-2.45525424603448,0.261653098499537,-9.38362381379873,6.37433948618963e-21,8.28919106784099e-18
"FETUB",1.91192674049099,-1.92346883651533,0.431676864343549,-4.45580709876668,8.35781593008969e-06,0.000121980963361264
"COL9A3",457.280354519958,-1.55115680486504,0.218578086520302,-7.09657966889086,1.27882240957647e-12,2.49447099211987e-10
"GABRP",7978.1717755681,-1.92448416504942,0.300429277797429,-6.40578101827694,1.49601557032641e-10,1.33315864479162e-08
"CRISP3",471.125285018383,-1.9062916438946,0.324677792381813,-5.87133363791277,4.32303267509499e-09,2.26072588097595e-07
"GGTLC2",1.0366353931367,-1.52956965925255,0.382974491203862,-3.99392046829128,6.49896708629472e-05,0.000667177015747624
"CHGA",50.8323796555536,-2.82009144904442,0.326169411737747,-8.64609416934499,5.32921405521758e-18,3.52378472410421e-15
"DHRS2",6819.80640967495,-1.53463972433615,0.326488244075425,-4.70044405023543,2.59596376240322e-06,4.58459657305905e-05
"PROKR2",1.22299422358238,-1.79752208571085,0.411563218462069,-4.36754793693139,1.25649224397574e-05,0.000171993948849058
"HAO1",1.32365878365102,-2.0702200158648,0.56052065507823,-3.69338756227612,0.000221286376281914,0.00180188355489669
"BPI",75.4738803148853,-2.07582148035022,0.245512303563219,-8.45506090824364,2.78941706554754e-17,1.64879906910819e-14
"CELF4",60.2930827257078,-1.67621175854922,0.195295355886306,-8.58295759744049,9.24644470050829e-18,5.91348033862671e-15
"LUZP4",0.621703500023305,-1.90582137836253,0.476285449063204,-4.00142683785754,6.29616635014203e-05,0.000651009916914235
"PCSK1N",131.804667075468,-1.71529336977133,0.274688368134807,-6.24450675293801,4.25139563212257e-10,3.29078266667392e-08
"VGLL1",309.384308699382,-3.11227349869368,0.330525617401243,-9.41613398430029,4.68002955354786e-21,6.76212270159294e-18
"PCDH11X",21.6866989266703,-2.09484276360351,0.302545063213784,-6.92406857130984,4.38853313004887e-12,7.045491953476e-10
"MSLN",564.476288865949,-4.15556699479697,0.291407627505202,-14.2603233497132,3.86658770297387e-46,7.54216597342082e-42
"PRSS33",8.41280608947311,-3.37908642730771,0.413797060332011,-8.16604744508454,3.18657989901633e-16,1.49776933759548e-13
"CASP14",208.738353319896,-2.19528867293483,0.39096874506766,-5.61499787548215,1.9656466027958e-08,7.96301196970612e-07
"SLC1A6",12.3007393720383,-1.75664441067509,0.332600252714457,-5.28154863485087,1.28096467520441e-07,3.80937722263266e-06
"TFPI2",805.353345465496,1.61008400058988,0.255713348601334,6.29644095389034,3.0455721468102e-10,2.4856456190661e-08
"CA9",128.312279135295,-2.3738708034029,0.303562218509727,-7.82004695794127,5.28036356667291e-15,1.7606627646414e-12
"CSF3",12.9067730075168,2.17265776879862,0.312569012482802,6.95096980836564,3.62783513933696e-12,6.02251508322611e-10
"CCL7",18.8012635044327,-1.52842792636944,0.324724963974479,-4.70683838920856,2.51588201985815e-06,4.47064017436113e-05
"GABRA4",2.47786324962286,1.88756223315362,0.358295895466878,5.26816594059507,1.37793520884729e-07,4.04180514041733e-06
"UGT2B10",3.07100009955471,-1.51375759701604,0.43867313198898,-3.45076433141127,0.000559001462586923,0.00382592369446334
"SMR3A",1.34190511924776,-1.99213643566556,0.743851606388254,-2.67813690063574,0.00740329523700722,0.0302019738006338
"UCP1",47.4302941174824,2.78514430025454,0.299278089127821,9.3062085111918,1.3247707910918e-20,1.61506119068979e-17
"CCKBR",18.8533499398173,-3.44834260292791,0.361473018743059,-9.5396957009924,1.43252028692192e-21,2.32856172639159e-18
"APOC3",1.39624011389695,1.58911881715205,0.585907212005659,2.71223631419765,0.00668309294369514,0.0278905457765763
"PRDM13",3.2216947385962,-3.56452214523063,0.5479033730093,-6.50574959167139,7.73069103589553e-11,7.67403864357141e-09
"NR2E1",3.50743312574032,-1.59504212404722,0.35365543338781,-4.51015868402659,6.47791503605396e-06,9.87559286387406e-05
"PRKAG3",7.61415964358014,-1.94337339435592,0.295756375248766,-6.57085884529558,5.00258667895692e-11,5.36156350328207e-09
