"Categories","Diseases or Functions Annotation","p-value","Molecules","# Molecules"
"Psychological Disorders","Tobacco-related disorder",4.76e-08,"CA6,CA9,CHRNA9,CYP2A6 (includes others),DDC,GABBR2,GABRP,OPRK1,SCN1A",9
"Cell Morphology","Keratinization",3.71e-07,"CASP14,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,PI3,SPRR1A,SPRR2D",12
"Lipid Metabolism,Small Molecule Biochemistry","Conjugation of 12-hydroxyeicosatetraenoic acid",5.32e-07,"UGT1A9 (includes others),UGT2B10,UGT2B11,UGT2B4",4
"Cell Morphology,Embryonic Development,Hair and Skin Development and Function,Organ Development,Organismal Development,Tissue Development","Keratinization of epidermis",1.5e-05,"CASP14,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85",9
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Malignant neoplasm of respiratory system",1.65e-05,"A2ML1,ACE2,ACTL8,ACTN2,AFAP1-AS1,C18orf63,C1orf94,CA9,CALCB,CCKBR,CDH1,CDH19,CHGA,CHRDL2,CT83,CYP24A1,CYP27C1,CYP2A6 (includes others),DDC,DIO1,DLK1,DLX6,DMRT1,DNER,EN1,FBN3,FETUB,FGA,FGB,FZD9,GABRP,GLDC,HAO1,HRCT1,IL36A,KCNQ2,KCNV1,KIF1A,KLHL1,KRT20,KRT38,KRT6C,KRT81,LACRT,LCT,LIN28B,LINC00261,LUZP4,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,MMP1,MSLN,MUC21,NETO1,NKX2-1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PGBD5,POU4F1,PRAME,PXDNL,RAET1L,RCOR2,RGR,SCN1A,SFTPC,SH3GL3,SLC12A1,SLC15A1,SLC26A9,SLC28A1,SLC39A12,SLIT1,SMR3A,SOX11,SPANXB1 (includes others),STRA8,SULT1C3,TAFA4,TBXT,TCERG1L,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,UGT2B11,UGT2B4,ZFP42,ZP4",96
"Cancer,Organismal Injury and Abnormalities","Malignant soft tissue neoplasm",2.89e-05,"A2ML1,ACE2,ACTL8,ACTN2,AMTN,ANKRD1,ART3,BPI,C18orf63,C1orf94,CA6,CASP14,CCKBR,CCL7,CDH1,CDK5R2,CELF4,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CYP24A1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,GABBR2,GABRP,GGTLC2,GLDC,GNAT3,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LEMD1,LIN28B,LY6D,MAGEA3/MAGEA6,MAGEA4,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PGBD5,PI3,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,S100A2,S100A8,SCN1A,SFTA3,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,TRIM15,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZFP42,ZNF280A,ZP4",144
"Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Skin cancer",3.13e-05,"A2ML1,ACE2,ACTL8,ACTN2,AMTN,ANKRD1,ART3,BARHL2,BPI,C18orf63,C1orf94,CA6,CASP14,CCKBR,CCL7,CDH1,CDH19,CDK5R2,CELF4,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CXCL10,CYP24A1,CYP27C1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GGTLC2,GLDC,GNAT3,GNGT1,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LEMD1,LIN28B,LY6D,MAGEA3/MAGEA6,MAGEA4,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PGBD5,PI3,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,S100A8,SCN1A,SFTA3,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,TRIM15,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,ZFP42,ZNF280A,ZP4",148
"Psychological Disorders","Drug dependence",3.17e-05,"CA6,CA9,CARTPT,CHRNA9,DDC,GABBR2,GABRP,OPRK1,SCN1A",9
"Cancer,Organismal Injury and Abnormalities","Malignant connective or soft tissue neoplasm",3.23e-05,"A2ML1,ACE2,ACTL8,ACTN2,AMTN,ANKRD1,ART3,BPI,C18orf63,C1orf94,CA6,CALCB,CASP14,CCKBR,CCL7,CDH1,CDK5R2,CELF4,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CYP24A1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,GABBR2,GABRP,GGTLC2,GLDC,GNAT3,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LEMD1,LIN28B,LY6D,MAGEA3/MAGEA6,MAGEA4,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PGBD5,PI3,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,S100A2,S100A8,SCN1A,SFTA3,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,TRIM15,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZFP42,ZNF280A,ZP4",145
"Psychological Disorders","Compulsive gambling",3.37e-05,"CA6,CA9,OPRK1,SCN1A",4
