"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"A1BG",52,97,41,37,44,34,39,57,68,10,93,85,28,31,45,14,25,23,22,27
"A1BG-AS1",184,373,63,183,280,201,157,386,281,79,285,251,125,229,255,172,75,207,68,161
"A1CF",5,7,9,1,3,1,42,1,3,0,6,5,9,0,1,1,4,0,72,0
"A2M",48024,56663,16887,43483,82780,33844,33091,57015,14867,5634,83277,20939,63467,28042,41201,24378,7068,70785,11823,34589
"A2M-AS1",87,170,26,57,109,52,133,68,26,42,117,27,98,79,77,45,20,120,31,43
"A2ML1",8,39,11,31,6,10,28,40,162,8,23,43,29,17,23,10,11,18,74,35
"A2ML1-AS1",0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0
"A2ML1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A2MP1",11,40,9,23,48,43,42,14,6,65,26,10,44,12,25,13,5,28,72,5
"A3GALT2",2,0,2,0,5,5,3,5,0,1,6,0,0,2,4,1,2,2,0,0
"A4GALT",1066,1404,425,754,2909,4891,289,1000,1076,456,2878,2634,869,866,937,422,476,2045,73,707
"A4GNT",0,2,1,11,10,0,1,5,4,0,20,1,1,1,7,3,1,7,9,4
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",3407,3715,2699,1872,2821,2589,2632,3561,3895,1296,2726,3043,2691,3725,2125,1439,1887,2244,301,1402
"AACS",2245,5072,1581,2207,2472,2132,1957,4275,3418,594,2195,2011,1722,3969,2841,2112,840,2811,579,1459
"AACSP1",0,3,0,7,1,4,0,6,1,12,4,2,1,1,5,1,0,5,0,0
"AADAC",17,1,41,6,155,53,2,5,5,0,89,1,7,1,1,1,1,0,61,0
"AADACL2",0,2,0,0,0,0,1,0,40,0,3,0,0,0,2,0,0,1,79,1
