ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003.13,2994.273404,0.042005571,0.099439678,0.422422635,0.672716559,0.799464416
ENSG00000000005.5,53.85528759,1.053348637,0.228176855,4.616369329,3.91E-06,6.50E-05
ENSG00000000419.11,2071.691028,-0.342304611,0.062897728,-5.442241273,5.26E-08,1.81E-06
ENSG00000000457.12,2086.853628,0.115174991,0.063784379,1.805692737,0.070966348,0.169796943
ENSG00000000460.15,744.0236973,-0.122406709,0.082217834,-1.488809701,0.136537487,0.27429839
ENSG00000000938.11,668.2850994,0.086555881,0.123239398,0.702339372,0.482467545,0.648699771
ENSG00000000971.14,3118.4699,0.153132033,0.111897518,1.36850249,0.171154843,0.322549285
ENSG00000001036.12,3247.581997,-0.367135017,0.065738569,-5.584773526,2.34E-08,9.18E-07
ENSG00000001084.9,2470.967299,-0.243689686,0.084447945,-2.885679301,0.003905699,0.018331224
ENSG00000001167.13,3121.429161,-0.395429898,0.063154979,-6.261262433,3.82E-10,3.02E-08
ENSG00000001460.16,658.814657,-0.114239515,0.061050139,-1.871240877,0.061311701,0.151962649
ENSG00000001461.15,2979.07669,-0.222227074,0.089863301,-2.472945813,0.013400446,0.047961302
ENSG00000001497.15,3110.972622,-0.088985613,0.047701825,-1.865455098,0.06211764,0.153550462
ENSG00000001561.6,1769.931196,0.092399827,0.119667221,0.772139823,0.440031618,0.611909656
ENSG00000001617.10,6663.654334,0.210996562,0.094109049,2.242043297,0.024958574,0.077007756
ENSG00000001626.13,28.76329839,1.199715566,0.200847443,5.973267823,2.33E-09,1.38E-07
ENSG00000001629.8,4362.061093,-0.246492165,0.064137252,-3.843198136,0.000121441,0.001108746
ENSG00000001630.14,290.7643572,-0.097559078,0.103742377,-0.940397554,0.347013676,0.524814874
ENSG00000001631.13,2099.500227,-0.111257388,0.055316068,-2.011303278,0.044293432,0.119040818
ENSG00000002016.15,548.69563,0.182166754,0.066549243,2.737322704,0.00619415,0.02631954
ENSG00000002079.11,17.2066698,-0.045757226,0.147669642,-0.309862104,0.756665822,0.856576098
ENSG00000002330.12,2081.561133,0.294316683,0.100753847,2.921145853,0.003487465,0.016726456
ENSG00000002549.11,7687.024064,-0.191272032,0.076589083,-2.49737985,0.012511486,0.04552729
ENSG00000002586.16,10860.45922,-0.017646599,0.091303518,-0.19327403,0.846744364,0.914050165
ENSG00000002587.8,304.7429759,-0.108127094,0.104571146,-1.034005057,0.301133799,0.477787204
