ensembl_gene_id,hgnc_symbol,description
ENSG00000000005,TNMD,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]
ENSG00000001626,CFTR,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENSG00000003249,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
ENSG00000004799,PDK4,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENSG00000006377,DLX6,distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]
ENSG00000010438,PRSS3,serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]
ENSG00000011677,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]
ENSG00000012817,KDM5D,lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]
ENSG00000013293,SLC7A14,solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]
ENSG00000015520,NPC1L1,NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]
ENSG00000019186,CYP24A1,cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]
ENSG00000019505,SYT13,synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]
ENSG00000026559,KCNG1,potassium voltage-gated channel modifier subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:6248]
ENSG00000029559,IBSP,integrin binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341]
ENSG00000036473,OTC,ornithine transcarbamylase [Source:HGNC Symbol;Acc:HGNC:8512]
ENSG00000039068,CDH1,cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]
ENSG00000047457,CP,ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
ENSG00000054598,FOXC1,forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
ENSG00000054938,CHRDL2,chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168]
ENSG00000058404,CAMK2B,calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]
ENSG00000064886,CHI3L2,chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]
